module_id	script_or_layer	main_inputs	main_outputs	notes
RESOURCE_QC	scripts/qc/qc_resource_manifest.sh	config/resource_manifest.tsv	results/<mode>/qc/resource_manifest_qc_report.tsv; results/<mode>/qc/resource_manifest_qc_summary.tsv	Lightweight resource gate before MODULE 00.
M00	scripts/modules/00_preflight_check.py; scripts/modules/00a_fasta_intake.py	config/profiles/*.env; config/vermamg_defaults.env	QC status/logs	Input/profile sanity checks.
M01	scripts/modules/00b_plan_fasta_batches.py	input FASTA / configured candidate set	run_sets/<mode>/*.faa	Prepares test/regression/full run sets.
M02_M04	ColabFold layer / collection	run_sets/<mode>/*.colabfold.faa	01_colabfold outputs; model summaries	Heavy if real structure prediction is run.
M05	scripts/modules/00e_run_foldseek.py; scripts/modules/import_precomputed_foldseek_hits.py	ColabFold/model outputs	02_foldseek query manifests	Prepares query PDB manifest.
M06	PDB Foldseek layer	FOLDSEEK_BIN; PDB_FOLDSEEK_DB; query PDBs	02_foldseek/tables/<mode>/*pdb*	Foldseek against PDB references.
M07	AFSP Foldseek layer	FOLDSEEK_BIN; AFSP_FOLDSEEK_DB; query PDBs	02_foldseek/tables/<mode>/*afsp*	Foldseek against AlphaFold SwissProt references.
M08	reference panel layer	M06/M07 outputs	05_reference_panel/<mode>/*	Integrated reference decisions.
M09	P2Rank manifest/full-atom reference layer	P2RANK_HOME/JAR; reference panel; query structures; full-atom PDB/AFSP source caches	04_p2rank/<mode>/*	P2Rank setup plus full-atom reference materialization; CA-only reference inputs must fail before reference P2Rank unless diagnostic mode is explicit.
M10A	scripts/modules/10a_prepare_visual_overlay_input_contract.py	P2Rank/reference tables	visual overlay input contract	Producer integrated into master.
M10B	scripts/modules/10b_prepare_visual_overlay_smoke_package.py	M10A contract	smoke visual package	Producer integrated into master.
M10C	scripts/modules/10c_prepare_all_query_visual_script_package.py	M10A/M10B inputs	all-query visual scripts	Producer integrated into master.
M10F	canonical visual/render QC	existing/generated M10F artifacts	M10F QC PASS/FAIL	Current master checks canonical visual artifacts.
M11	supporting reference audit	M10F/reference outputs	M11 QC PASS/FAIL	Supporting reference layer.
M12	decision matrix	M11/reference/rulebook context	M12 QC PASS/FAIL	Primary, supporting, and combined decision matrix layer.
M12D	scripts/modules/12d_multi_reference_pocket_overlap_metrics.py	M10A visual overlay contract; query PDBs; full-atom reference PDBs; PyMOL environment	results/full/08_user_facing_exports/*multi_reference_pocket_overlap_metrics*.tsv	PyMOL-aligned top-1 pocket overlap metrics for every primary/supporting reference panel row.
M13	rulebook/evidence layer	M12 + rulebook context	M13 QC PASS/FAIL	Rulebook/evidence layer when enabled; supporting references remain context-only.
M14	scripts/modules/14_final_export.py	M13E final rulebook evidence; metadata; optional PNG manifest	exports/<run_label>/*_final_export_*.tsv	Legacy/master final export with annotation metadata join.
M15	scripts/modules/15_user_facing_final_exports.py	M05 reference panel; M10A contract; M12A/B/C matrices; M12D overlap metrics; optional final PNG dir	results/full/08_user_facing_exports/full_final_primary_rank1_summary.tsv; results/full/08_user_facing_exports/full_final_reference_panel_long.tsv; results/full/08_user_facing_exports/full_pocket_residue_details_long.tsv	User-facing structural/pocket exports: one primary row per query, all-reference long table, residue-level detail; primary decision preserved.
M09H_M09R	scripts/modules/09h_* through 09r_*	M09 query/reference/P2Rank outputs; DeepTMHMM raw outputs; M-CSA/UniProt/RCSB caches	results/full/09_topology/*; results/full/10_catalytic_layer/full_catalytic_visual_query_manifest.tsv; results/full/10_catalytic_layer/full_catalytic_visual_annotation_manifest.tsv	Default-disabled Phase 1 topology/catalytic scaffold. Future implementation regenerates A10G-FIX2-equivalent outputs automatically and preserves complete query/reference retention.
M09R_VALIDATE	scripts/modules/09r_validate_previsual_catalytic_outputs.py	precomputed A10G-FIX2 catalytic TSVs under results/full/10_catalytic_layer; pipeline_contracts/catalytic_previsual_output_headers.tsv; pipeline_contracts/catalytic_layer_class_policy.tsv	results/full/10_catalytic_layer/full_previsual_catalytic_validation_qc.tsv	Default-disabled read-only validator. Checks canonical file existence, required columns, row counts, final class counts, 2fua Tyr override audit count, and A10G_FIX2 version.
M10H	scripts/modules/10h_generate_catalytic_two_panel_figures.py	M09R full_catalytic_visual_query_manifest.tsv; M09R full_catalytic_visual_annotation_manifest.tsv	06_visual_qc_v6/full/catalytic_two_panel_png/*	Default-disabled Phase 1 scaffold. M10H consumes precomputed visual manifests only; it must not parse M-CSA, UniProt, raw alignments, or run coordinate rescue.
M15B	scripts/modules/15b_parallel_integrated_topology_catalytic_exports.py	M14 final export; M09 topology/catalytic summaries; M10H catalytic PNG manifest	results/full/11_integrated_exports/*	Default-disabled Phase 1 parallel integrated export/report surface; must not overwrite M14 or M15 outputs.
