family	known_residue_rule_n	old_section8_candidate_n	existing_rulebook_coverage_status
3HCDH_N	0	3	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
Aminotran_1_2	0	2	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
Arginase	0	2	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
CoA_trans	1	5	HAS_KNOWN_RESIDUE_RULE
CobD_Cbib	0	5	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
DAPDH_C	0	3	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
ECH_1	0	3	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
MTTB	0	2	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
Molybdopterin	0	2	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
PGM_PMM_I	0	2	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
UbiD	0	3	NO_KNOWN_RESIDUE_RULE_BUT_MAY_HAVE_CASE_RULE
